title,artist(s),release,num_of_streams,bpm,key,mode,danceability,valence,energy,acousticness,instrumentalness,liveness,speechiness
Todo De Ti,Rauw Alejandro,2020,1168642797,128,D-sharp,Minor,81,57,63,40,1,10,4
Ghost,Justin Bieber,2021,1167330737,154,D,Major,61,41,74,21,0,40,6
Set Fire to the Rain,Adele,2011,1163620694,108,D,Minor,61,47,68,0,0,13,3
Kill Bill,SZA,2022,1163093654,89,G-sharp,Major,64,43,73,5,17,16,4
Last Christmas,Wham!,1984,1159176109,107,B,Minor,74,88,65,28,0,46,3
Have You Ever Seen The Rain?,Creedence Clearwater Revival,1968,1145727611,116,unknown,Major,74,76,70,7,0,13,3
Butter,BTS,2021,1143647827,110,G-sharp,Major,79,70,36,0,0,6,11
Astronaut In The Ocean,Masked Wolf,2019,1138474110,150,E,Minor,78,47,70,18,0,15,9
Night Changes,One Direction,2014,1131090940,120,G-sharp,Major,67,40,52,86,0,12,4
Daddy Issues,The Neighbourhood,2015,1127468248,85,A-sharp,Major,59,33,52,7,15,12,3
SLOW DANCING IN THE DARK,Joji,2018,1122364376,89,D-sharp,Major,52,28,48,54,1,19,3
Dandelions,Ruth B.,2017,1116995633,117,C-sharp,Major,61,45,69,2,0,9,3
Leave The Door Open,Bruno Mars . Anderson .Paak . Silk Sonic,2021,1115880852,148,F,Major,59,72,62,18,0,9,3
Shake It Off,Taylor Swift,2014,1113838873,160,G,Major,65,95,80,5,0,41,16
I'm Good (Blue),Bebe Rexha . David Guetta,2022,1109433169,128,G,Minor,56,38,97,4,0,35,4
Money Trees,Kendrick Lamar . Jay Rock,2012,1093605526,144,E,Minor,74,37,53,7,0,21,10
Somewhere Only We Know,Keane,2004,1089402494,172,A,Major,45,33,59,6,0,8,3
I Ain't Worried,OneRepublic,2022,1085685420,140,unknown,Major,71,82,81,11,0,6,5
Boy With Luv (feat. Halsey),Halsey . BTS,2019,1065580332,120,B,Minor,65,80,86,9,0,19,10
Talking To The Moon,Bruno Mars,2010,1062956628,146,C-sharp,Minor,52,7,61,51,0,11,3
My Universe,Coldplay . BTS,2021,1061966512,105,A,Major,58,42,68,1,0,14,4
Happier Than Ever,Billie Eilish,2021,1056760045,65,unknown,Major,31,31,24,76,0,14,4
Efecto,Bad Bunny,2022,1047480053,98,G,Minor,80,23,48,14,0,6,5
See You Again,Tyler . The Creator . Kali Uchis,2017,1047101291,79,F-sharp,Major,56,58,56,37,0,11,10
Need To Know,Doja Cat,2021,1042568408,130,C-sharp,Major,66,19,61,30,0,9,7
Running Up That Hill (A Deal With God),Kate Bush,1985,1024858327,108,A-sharp,Minor,63,20,55,72,0,6,6
